CURRENCY,Rate
AED,3.6725
AED,
AED,
AED,3.6725
AED,
AED,
AFN,77.737949
AFN,
AFN,
AFN,78.4083
AFN,
AFN,
XCD,2.7
XCD,
XCD,
XCD,2.7
XCD,
XCD,
XCD,2.7
XCD,
XCD,
XCD,2.7
XCD,
XCD,
ALL,109.850833
ALL,
ALL,
ALL,109.94
ALL,
ALL,
AMD,480.445129
AMD,
AMD,
AMD,479.7
AMD,
AMD,
ANG,1.79
ANG,
ANG,
ANG,1.79
ANG,
ANG,
AOA,364.825805
AOA,
AOA,
AOA,482.227
AOA,
AOA,
ARS,48.16280803
ARS,
ARS,
ARS,59.88000712
ARS,
ARS,
EUR,0.893409
EUR,
EUR,
EUR,0.890155
EUR,
EUR,
AUD,1.439273
AUD,
AUD,
AUD,1.423803
AUD,
AUD,
AWG,1.79
AWG,
AWG,
AWG,1.79
AWG,
AWG,
AZN,1.7
AZN,
AZN,
AZN,1.7
AZN,
AZN,
BAM,1.747204
BAM,
BAM,
BAM,1.747994
BAM,
BAM,
BBD,2
BBD,
BBD,
BBD,2
BBD,
BBD,
BDT,84.453523
BDT,
BDT,
BDT,84.9
BDT,
BDT,
EUR,0.893409
EUR,
EUR,
EUR,0.890155
EUR,
EUR,
XOF,585.958558
XOF,
XOF,
XOF,583.903329
XOF,
XOF,
BGN,1.747329
BGN,
BGN,
BGN,1.740965
BGN,
BGN,
BHD,0.376
BHD,
BHD,
BHD,0.376
BHD,
BHD,
BIF,1845.622891
BIF,
BIF,
BIF,1881.6
BIF,
BIF,
XOF,585.958558
XOF,
XOF,
XOF,583.903329
XOF,
XOF,
BND,1.364351
BND,
BND,
BND,1.3498
BND,
BND,
BOB,6.91
BOB,
BOB,
BOB,6.91
BOB,
BOB,
BRL,3.944094715
BRL,
BRL,
BRL,4.019672423
BRL,
BRL,
BSD,1
BSD,
BSD,
BSD,1
BSD,
BSD,
BTN,70.420341
BTN,
BTN,
BTN,71.274
BTN,
BTN,
BWP,10.755867
BWP,
BWP,
BWP,10.6214
BWP,
BWP,
BYN,2.095575
BYN,
BYN,
BYN,2.1036
BYN,
BYN,
BZD,2
BZD,
BZD,
BZD,2
BZD,
BZD,
CAD,1.326937
CAD,
CAD,
CAD,1.299448
CAD,
CAD,
CDF,1647.760127
CDF,
CDF,
CDF,1672.9467
CDF,
CDF,
XAF,585.958558
XAF,
XAF,
XAF,583.903329
XAF,
XAF,
XAF,585.958558
XAF,
XAF,
XAF,583.903329
XAF,
XAF,
CHF,0.993719
CHF,
CHF,
CHF,0.966174
CHF,
CHF,
XOF,585.958558
XOF,
XOF,
XOF,583.903329
XOF,
XOF,
CLP,702.631048
CLP,
CLP,
CLP,744.62
CLP,
CLP,
XAF,585.958558
XAF,
XAF,
XAF,583.903329
XAF,
XAF,
CNY,6.911383
CNY,
CNY,
CNY,6.961456
CNY,
CNY,
COP,3281.068247
COP,
COP,
COP,3277.14
COP,
COP,
CRC,587.294596
CRC,
CRC,
CRC,573.29
CRC,
CRC,
CVE,98.495179
CVE,
CVE,
CVE,98.548
CVE,
CVE,
EUR,0.893409
EUR,
EUR,
EUR,0.890155
EUR,
EUR,
CZK,22.934477
CZK,
CZK,
CZK,22.617055
CZK,
CZK,
EUR,0.893409
EUR,
EUR,
EUR,0.890155
EUR,
EUR,
DJF,177.72
DJF,
DJF,
DJF,177.72
DJF,
DJF,
DKK,6.670257
DKK,
DKK,
DKK,6.650792
DKK,
DKK,
XCD,2.7
XCD,
XCD,
XCD,2.7
XCD,
XCD,
DOP,51.294858
